Denver ,.3809,103.8,108.3,-.068,.4254
Mount St. Mary's ,.3794,96.6,100.8,+.040,.4195
South Dakota ,.3791,101.4,105.9,+.032,.4312
Arkansas Little Rock ,.3743,104.3,109.1,-.036,.3956
Ohio ,.3734,102.0,106.7,-.040,.5243
East Tennessee St. ,.3733,100.2,104.9,+.035,.4191
East Carolina ,.3717,101.6,106.3,+.007,.5028
Eastern Illinois ,.3713,98.1,102.6,+.116,.4728
Tulane ,.3660,97.8,102.6,+.031,.4762
Sacred Heart ,.3586,102.2,107.5,-.014,.3587
Texas St. ,.3513,92.1,97.2,-.030,.4393
Northern Kentucky ,.3512,103.0,108.6,-.059,.4003
Idaho ,.3511,105.0,110.8,-.070,.4016
Western Carolina ,.3493,99.1,104.6,+.009,.4380
Southern Illinois ,.3491,96.1,101.4,-.054,.4863
Southeast Missouri St. ,.3456,101.1,106.9,-.062,.4055
Bryant ,.3433,102.8,108.8,+.064,.4106
Pacific ,.3432,100.5,106.3,+.052,.5966
UNC Asheville ,.3402,100.7,106.7,-.024,.4023
North Texas ,.3396,97.5,103.3,+.046,.4834
Boston University ,.3385,103.9,110.1,+.006,.4461
Holy Cross ,.3375,100.1,106.2,+.030,.4152
SIU Edwardsville ,.3315,96.2,102.2,-.043,.3881
Lamar ,.3314,98.8,105.0,+.030,.4231
Delaware ,.3294,100.1,106.5,+.023,.4797
Drexel ,.3290,98.5,104.8,+.002,.4670
Howard ,.3207,92.5,98.7,+.027,.3672
Delaware St. ,.3205,102.0,108.9,+.046,.3887
Wright St. ,.3196,96.3,102.8,-.029,.5195
Nebraska Omaha ,.3121,100.8,107.9,-.042,.3627
Tennessee Tech ,.3119,102.4,109.7,-.050,.4225
Elon ,.3084,96.9,104.0,+.053,.4391
Portland St. ,.3067,100.8,108.2,+.071,.3922
Brown ,.3057,97.7,104.9,+.049,.4738
Northern Colorado ,.3045,108.5,116.5,-.003,.3463
Alabama St. ,.3041,95.7,102.9,+.051,.1941
Cal St. Bakersfield ,.2982,98.3,105.9,-.113,.3244
Seattle ,.2960,96.2,103.7,-.020,.3004
Drake ,.2959,103.9,112.0,-.027,.5722
Ball St. ,.2952,98.3,106.1,-.130,.5393
Army ,.2948,97.4,105.1,+.033,.3733
Towson ,.2916,99.1,107.0,-.026,.4085
Marshall ,.2915,94.5,102.1,-.049,.4888
Navy ,.2897,97.3,105.2,+.005,.4029
Missouri St. ,.2891,96.0,103.9,-.011,.5552
FIU ,.2877,94.5,102.3,+.090,.4399
Grand Canyon ,.2859,105.4,114.1,+.034,.2998
Appalachian St. ,.2847,97.1,105.2,+.073,.4446
Nevada ,.2830,95.8,103.9,-.084,.5177
